Part_ID,Part_Type,Airline_Name,Flight_Number,Temperature (°C),Pressure (bar),Vibration (mm/s),Working_Hours,Maintenance_Required,Failure_Type,Last_Maintenance_Date,Remaining_Life (hours),Flight_Type
PART_00005,Oil Pump,Cloud Nine Aviation,FN_5882,88.9,160.8,9.65,22705,False,Turbine Overheat,2024-10-18,2102,Private
PART_00376,Fuel Line,AirJet Airways,FN_9135,45.02,140.46,3.93,13973,True,Valve Stuck,2024-01-19,854,Private
PART_00210,Wheel Brake Assembly,Sky High Airlines,FN_3395,112.05,171.85,9.58,20640,True,Turbine Overheat,2024-06-11,4024,Short-Haul
PART_00110,Control Valve,Cloud Nine Aviation,FN_5070,73.43,233.96,4.55,9755,False,Seal Failure,2024-01-26,2356,Commercial
PART_00120,Fuel Line,Sky High Airlines,FN_3514,119.58,240.21,5.49,2353,True,None,2024-02-05,1868,Long-Haul
PART_00352,Control Valve,Cloud Nine Aviation,FN_2268,107.7,29.44,1.61,4929,False,Oil Leakage,2024-10-02,857,Private
PART_00103,Control Valve,Global Wings,FN_6865,100.42,178.21,8.28,5131,False,Fuel Leakage,2024-11-09,3630,Long-Haul
PART_00440,Fuel Line,AirJet Airways,FN_5009,78.18,214.16,4.56,48016,True,Turbine Overheat,2024-01-02,4103,Short-Haul
PART_00475,Wheel Brake Assembly,AirJet Airways,FN_2752,53.07,142.82,7.47,25405,False,Turbine Overheat,2024-12-23,8718,Private
PART_00240,Fuel Line,FlySwift,FN_3789,114.62,39.1,6.63,5154,True,Fuel Leakage,2024-05-08,6787,Short-Haul
PART_00368,Hydraulic Pump,Cloud Nine Aviation,FN_4664,95.89,45.55,1.52,41294,False,Valve Stuck,2024-09-15,7494,Commercial
PART_00211,Navigation Module,Global Wings,FN_9409,53.31,298.34,5.77,34430,False,Seal Failure,2024-05-01,2936,Cargo
PART_00406,Hydraulic Pump,Global Wings,FN_2327,109.4,257.02,4.39,45631,True,Valve Stuck,2024-06-06,709,Short-Haul
PART_00225,Communication Module,Global Wings,FN_6231,50.93,141.79,0.37,7426,False,Pressure Loss,2024-10-20,9895,Long-Haul
PART_00162,Oil Pump,Cloud Nine Aviation,FN_3451,112.97,283.1,1.72,7912,True,Pressure Loss,2024-12-05,9971,Cargo
PART_00404,Actuator,Global Wings,FN_2802,46.42,96.23,4.67,40230,True,Pressure Loss,2024-02-28,3537,Commercial
PART_00376,Wheel Brake Assembly,AirJet Airways,FN_6530,95.06,68.28,6.3,9181,False,Pressure Loss,2024-10-26,1436,Short-Haul
PART_00388,Actuator,Cloud Nine Aviation,FN_6962,91.03,131.0,2.69,42560,False,Pressure Loss,2024-03-15,1487,Short-Haul
PART_00213,Fuel Injector,Sky High Airlines,FN_1117,79.61,46.52,5.52,39148,True,Valve Stuck,2024-06-06,682,Short-Haul
PART_00216,Hydraulic Pump,Cloud Nine Aviation,FN_7418,81.97,141.87,1.9,24851,True,Turbine Overheat,2024-06-08,4296,Private
PART_00022,Control Valve,Cloud Nine Aviation,FN_2316,67.03,113.88,5.39,15564,False,Valve Stuck,2024-03-02,1871,Private
PART_00206,Wheel Brake Assembly,Cloud Nine Aviation,FN_5785,54.2,294.32,5.72,4775,True,None,2024-09-07,3604,Short-Haul
PART_00012,Fuel Injector,AirJet Airways,FN_7909,89.22,186.39,9.91,46235,False,Turbine Overheat,2024-10-11,4137,Short-Haul
PART_00343,Control Valve,Sky High Airlines,FN_3652,75.92,241.28,8.71,33051,True,Fuel Leakage,2024-04-06,290,Short-Haul
PART_00379,Control Valve,AirJet Airways,FN_6202,47.68,97.14,3.2,4208,True,Pressure Loss,2024-08-28,1251,Short-Haul
